task_loss,recourse_flow,predicted_demand,actual_demand,dataset,model
1.4047981071296314e10,14.047980061296315,99.95332975437532,114.04798006129631,close,io
983.9107469251468,0.0,99.9856519458283,97.39107469251468,close,io
1001.177977241802,0.0,99.89667481751869,99.11779772418019,close,io
962.9570354851973,0.0,99.78639215321378,95.29570354851973,close,io
977.0277792025651,0.0,99.82361326962919,96.70277792025651,close,io
991.7321177328008,0.0,99.84035982619297,98.17321177328009,close,io
913.0542076701076,0.0,99.93749714869317,90.30542076701076,close,io
988.6895266486156,0.0,99.89459262258453,97.86895266486155,close,io
993.0267445128419,0.0,99.86080982177272,98.30267445128419,close,io
978.0525498801829,0.0,99.86639101013749,96.80525498801829,close,io
6.356828063282139e8,0.635681796328214,99.78787441125813,100.63568179632821,close,io
2.9994446682302994e8,0.2999434568230299,99.85135711133277,100.29994345682303,close,io
2.6756695081697416e9,2.675668498169742,99.89162143561647,102.67566849816974,close,io
4.907274386884717e9,4.907273376884717,99.84572479644021,104.90727337688472,close,io
1003.8986088210708,0.0,99.86841554694698,99.38986088210707,close,io
988.2180597993104,0.0,99.90299015453633,97.82180597993104,close,io
5.005623002772916e9,5.005621992772916,99.8762961710006,105.00562199277292,close,io
1006.9441136669166,0.0,99.9179946257104,99.69441136669165,close,io
1008.6173044882656,0.0,99.91387251335472,99.86173044882656,close,io
3.7530806576385574e9,3.7530796476385575,99.85940884105982,103.75307964763856,close,io
6.020962490877596e8,0.6020952390877596,99.860764836322,100.60209523908776,close,io
6.36721995889827e9,6.36721894889827,99.8738482429386,106.36721894889827,close,io
951.9039394629914,0.0,99.93676555260247,94.19039394629914,close,io
5.195932244292388e9,5.195931234292388,99.8640069989232,105.19593123429239,close,io
862.1851943935122,0.0,99.85237593427327,85.21851943935123,close,io
1005.159989566451,0.0,99.83525600995426,99.5159989566451,close,io
985.3946141400719,0.0,99.98138890877593,97.53946141400719,close,io
8.126463311306717e9,8.126462301306717,99.90777283005079,108.12646230130672,close,io
4.773998502898801e9,4.7739974928988005,99.83521100891063,104.7739974928988,close,io
6.591137957504978e9,6.591136947504978,99.92027497854683,106.59113694750498,close,io
5.706836080488049e8,0.5706825980488048,99.85833200753522,100.5706825980488,close,io
1003.5694005533842,0.0,99.97104641437288,99.35694005533841,close,io
968.5997876431212,0.0,99.87485368414724,95.85997876431212,close,io
2.952521613089326e9,2.952520603089326,99.83671767038223,102.95252060308933,close,io
4.2532295108272195e9,4.25322850082722,99.96057315209484,104.25322850082722,close,io
4.94666246803032e9,4.94666145803032,99.88210526938227,104.94666145803032,close,io
965.5730798983791,0.0,99.79822836976878,95.55730798983791,close,io
947.3907883476039,0.0,99.93963422370473,93.73907883476039,close,io
1.8224284782140872e9,1.8224274682140873,99.78490962018239,101.82242746821409,close,io
960.8829739457133,0.0,99.91229083746923,95.08829739457133,close,io
1000.5130385344324,0.0,99.90249321858022,99.05130385344324,close,io
2.594169778005048e9,2.594168768005048,99.978193797664,102.59416876800505,close,io
933.2323147346849,0.0,99.77840080346277,92.3232314734685,close,io
4.685242690654912e9,4.6852416806549115,99.81636489382174,104.68524168065491,close,io
962.4017409318117,0.0,99.98855979732514,95.24017409318117,close,io
990.0453560513786,0.0,99.82801357421823,98.00453560513786,close,io
998.2566246615222,0.0,99.97740080869785,98.82566246615222,close,io
990.0821862042139,0.0,99.83927528370364,98.00821862042139,close,io
5.447274722444812e9,5.447273712444812,99.8414094565035,105.44727371244481,close,io
956.3372415210403,0.0,99.95264639050262,94.63372415210402,close,io
947.5400937357549,0.0,99.81457909561811,93.75400937357549,close,io
954.2782577983043,0.0,99.97655647592589,94.42782577983043,close,io
938.9655096443204,0.0,99.9932151758976,92.89655096443204,close,io
1005.4944355069301,0.0,99.92190771642646,99.54944355069301,close,io
995.1899776096502,0.0,99.98365186142834,98.51899776096502,close,io
959.1148108608443,0.0,99.83367937020195,94.91148108608442,close,io
948.9849799436038,0.0,99.99335792450128,93.89849799436038,close,io
884.7572841901363,0.0,99.80547814445858,87.47572841901362,close,io
993.0775659989947,0.0,99.80351802683812,98.30775659989948,close,io
959.2286824208952,0.0,99.98064214539933,94.92286824208952,close,io
1.8316393893894115e8,0.18316292893894115,99.9507674184519,100.18316292893894,close,io
3.196831712132084e8,0.31968216121320836,99.93960039414284,100.31968216121321,close,io
2.7017073929957237e9,2.7017063829957237,99.84428640085741,102.70170638299572,close,io
7.717865694771115e9,7.717864684771115,99.7930489090623,107.71786468477111,close,io
1003.2780183121873,0.0,99.99344231548453,99.32780183121874,close,io
1005.8252385717527,0.0,99.95526740821185,99.58252385717527,close,io
3.8919424611440353e9,3.891941451144035,99.82584506713248,103.89194145114404,close,io
994.0297212116258,0.0,99.82007611623524,98.40297212116258,close,io
987.0619950513551,0.0,99.87584208184778,97.70619950513552,close,io
1005.1749913191545,0.0,99.92186943759685,99.51749913191546,close,io
998.1248581216821,0.0,99.87604171255529,98.8124858121682,close,io
996.3214808042624,0.0,99.89554805924284,98.63214808042623,close,io
929.8590067337161,0.0,99.84840437486895,91.98590067337162,close,io
952.4172129895578,0.0,99.95291676526087,94.24172129895578,close,io
1.5876780416097293e9,1.5876770316097293,99.90751220439171,101.58767703160973,close,io
9.774229178306459e8,0.9774219078306459,99.91483021990607,100.97742190783065,close,io
9.5546079026499e9,9.5546068926499,99.95937383465503,109.5546068926499,close,io
1.1072078020894852e9,1.1072067920894852,99.91447003865045,101.10720679208949,close,io
2.4762341582622104e9,2.47623314826221,99.97989555559857,102.47623314826221,close,io
5.94617398607563e9,5.94617297607563,99.99520337634158,105.94617297607563,close,io
3.116111989638037e9,3.1161109796380373,99.83268449014216,103.11611097963804,close,io
7.342298046154022e9,7.342297036154022,99.79470165076222,107.34229703615402,close,io
963.8558962570892,0.0,99.90917135817818,95.38558962570892,close,io
961.226295322163,0.0,99.94422601551976,95.1226295322163,close,io
993.4561059467802,0.0,99.98019182298155,98.34561059467802,close,io
973.384806897278,0.0,99.83473196904478,96.3384806897278,close,io
963.7929698117919,0.0,99.77972459210145,95.37929698117918,close,io
999.4075787133411,0.0,99.98411688518597,98.94075787133411,close,io
4.2057233629129715e9,4.2057223529129715,99.86689017437831,104.20572235291297,close,io
7.043971395476612e9,7.043970385476612,99.96622083237514,107.04397038547661,close,io
8.150926124874412e9,8.150925114874411,99.8069061917053,108.15092511487441,close,io
3.405666541362274e9,3.405665531362274,99.94143014098297,103.40566553136227,close,io
1007.7872033944938,0.0,99.89641185920944,99.77872033944938,close,io
1008.3171819886434,0.0,99.92212390824237,99.83171819886434,close,io
3.5158839467193503e9,3.5158829367193505,99.91509083376165,103.51588293671935,close,io
1.9466453211164863e9,1.9466443111164864,99.84412410862386,101.94664431111649,close,io
5.589568336708859e9,5.58956732670886,99.84154079932556,105.58956732670886,close,io
940.4946288463041,0.0,99.98667194856672,93.0494628846304,close,io
975.8514271483202,0.0,99.81347201056185,96.58514271483202,close,io
1.4311652703916254e9,1.4311642603916255,99.87031245440689,101.43116426039163,close,io
942.6938987261774,0.0,99.86090367967438,93.26938987261774,close,io
999.8809514508479,0.0,99.803950776329,98.98809514508478,close,io
1004.3054663366296,0.0,99.8115504796224,99.43054663366296,close,io
