task_loss,recourse_flow,predicted_demand,actual_demand,dataset,model,n_points
1091.8927685237118,0.0,100.01151038533364,98.18927685237117,all,io,3000
1490.7254234941354,0.0,100.13148442224252,103.80725423494135,all,io,3000
1614.9356871347584,0.0,100.11399503257321,105.04935687134758,all,io,3000
1517.5001493585746,0.0,100.13823493517603,104.07500149358575,all,io,3000
1345.9304972855227,0.0,100.0351440887892,102.35930497285523,all,io,3000
1800.4484703058145,0.0,100.0901094799781,106.90448470305815,all,io,3000
1068.4224449213684,0.0,100.09667893434768,95.84224449213686,all,io,3000
1141.3570665617349,0.0,100.0947167739313,100.31357066561735,all,io,3000
1046.5230682398283,0.0,100.00341344494615,93.65230682398283,all,io,3000
1720.9105672668406,0.0,100.00905820904023,106.1091056726684,all,io,3000
1098.001940022334,0.0,100.02216953626002,98.8001940022334,all,io,3000
1188.3424463844099,0.0,100.19960855630019,100.7834244638441,all,io,3000
1075.053726331731,0.0,100.00409533886825,96.50537263317311,all,io,3000
1827.9682206291375,0.0,100.08029579288589,107.17968220629137,all,io,3000
1034.896887336986,0.0,100.1669635658761,92.48968873369861,all,io,3000
2047.3530909406852,0.0,100.02832956091774,109.37353090940685,all,io,3000
2.6222618980302544e9,2.6222608880302545,99.9800252369921,102.62226088803025,all,io,3000
1031.6532489814294,0.0,100.23749929402459,92.16532489814296,all,io,3000
1104.132580916855,0.0,100.0455098178943,99.41325809168549,all,io,3000
1694.8380380606586,0.0,100.1516873043487,105.84838038060659,all,io,3000
1082.5640086273002,0.0,100.080026079035,97.25640086273,all,io,3000
1025.4773268643635,0.0,100.01333451571665,91.54773268643635,all,io,3000
1018.5836132063441,0.0,100.07703178566888,90.85836132063442,all,io,3000
1574.0069717264382,0.0,100.06276446423954,104.64006971726438,all,io,3000
2042.2990129315983,0.0,100.11247421622362,109.32299012931598,all,io,3000
1472.7765064824844,0.0,100.17953203373283,103.62776506482484,all,io,3000
1175.853699249483,0.0,100.01761605271027,100.65853699249483,all,io,3000
1070.6685728902255,0.0,100.11931809245083,96.06685728902255,all,io,3000
1483.3217371902356,0.0,100.11166395774127,103.73321737190236,all,io,3000
1375.9233267619952,0.0,100.00442676587468,102.65923326761995,all,io,3000
1081.0555738490634,0.0,100.02491638660626,97.10555738490633,all,io,3000
1067.1391389441198,0.0,100.00982400056449,95.71391389441199,all,io,3000
5.1962311344254265e9,5.196230124425426,99.9919945932098,105.19623012442543,all,io,3000
980.1663653225502,0.0,99.98338465632415,97.01663653225502,all,io,3000
1598.3222302833387,0.0,100.10919379684026,104.88322230283339,all,io,3000
1089.560369670533,0.0,100.0785023789439,97.95603696705331,all,io,3000
1067.2855301567843,0.0,100.08856542669629,95.72855301567841,all,io,3000
1691.3237546668092,0.0,100.0866045238825,105.81323754666809,all,io,3000
1095.5251647935643,0.0,100.07451636285892,98.55251647935644,all,io,3000
1085.349185934918,0.0,100.0953156225399,97.53491859349181,all,io,3000
4.451934275440943e9,4.4519332654409425,99.94583001847136,104.45193326544094,all,io,3000
1055.6026064592886,0.0,100.07846342078338,94.56026064592886,all,io,3000
1489.1340659255595,0.0,100.16814322174979,103.7913406592556,all,io,3000
1078.5450078292954,0.0,100.1729036995395,96.85450078292953,all,io,3000
