task_losses,recourse_flow,dataset,model
1066.1810360329694,0.0,close,io
1085.2793175260167,0.0,close,io
1009.5510044688166,0.0,close,io
982.6166791944552,0.0,close,io
1059.6743130038412,0.0,close,io
1015.2746751565802,0.0,close,io
1389.4189514043892,0.0,close,io
2.0345456258704448e9,2.0345446158704448,close,io
1008.2760189907965,0.0,close,io
1060.5961931846505,0.0,close,io
5.679520890139367e9,5.679519880139367,close,io
1008.4717725176137,0.0,close,io
4.749773865016013e8,0.4749763765016013,close,io
849.5353795075334,0.0,close,io
1464.2420491247894,0.0,close,io
1003.9360431536954,0.0,close,io
1021.9167863246186,0.0,close,io
1054.3997204756988,0.0,close,io
1583.8958934457983,0.0,close,io
1057.3227185801418,0.0,close,io
1523.2432939234404,0.0,close,io
1423.907563587216,0.0,close,io
1010.978281905276,0.0,close,io
1098.0363201146533,0.0,close,io
6.301690934730369e9,6.301689924730368,close,io
1615.3531830071436,0.0,close,io
2.7068795142003183e9,2.7068785042003185,close,io
1057.1092925950718,0.0,close,io
5.22873756057252e9,5.2287365505725205,close,io
1769.7091468457918,0.0,close,io
1417.2342016026212,0.0,close,io
953.5194724159314,0.0,close,io
1212.1193702262067,0.0,close,io
3.338239064803753e9,3.338238054803753,close,io
1022.0488354526266,0.0,close,io
1054.1933760751556,0.0,close,io
1086.5247275653187,0.0,close,io
1849.9610511199128,0.0,close,io
2199.3124286853035,0.0,close,io
1184.282938031088,0.0,close,io
1064.7988978268108,0.0,close,io
948.2186918295763,0.0,close,io
1025.2039013796914,0.0,close,io
6.047232788220791e9,6.047231778220791,close,io
1068.615367185394,0.0,close,io
1003.3773836335218,0.0,close,io
5.194680420499305e9,5.194679410499305,close,io
1699.4408127921693,0.0,close,io
1138.2066353994283,0.0,close,io
3.764112765354634e9,3.7641117553546337,close,io
997.3473292044145,0.0,close,io
1075.440125479542,0.0,close,io
4.1839807894419694e9,4.1839797794419695,close,io
1078.429735361206,0.0,close,io
3.016787259584769e9,3.0167862495847686,close,io
1240.0241356574772,0.0,close,io
994.7325253050319,0.0,close,io
907.2570701412684,0.0,close,io
1222.1297424960574,0.0,close,io
1074.0941016297088,0.0,close,io
944.2653047010228,0.0,close,io
2051.463074875519,0.0,close,io
902.8065096294101,0.0,close,io
1007.0458615686789,0.0,close,io
1413.1689682165834,0.0,close,io
5.367030439457915e9,5.367029429457915,close,io
1204.0364032955003,0.0,close,io
1019.2813169335767,0.0,close,io
1926.5588667738064,0.0,close,io
1392.2362582824198,0.0,close,io
1098.5629252264105,0.0,close,io
996.5882532481367,0.0,close,io
3.9249817278336906e9,3.924980717833691,close,io
967.4861715016317,0.0,close,io
1048.4332380192782,0.0,close,io
2300.204257375116,0.0,close,io
1068.5461009726741,0.0,close,io
1109.433730019243,0.0,close,io
1097.2679864902248,0.0,close,io
1065.1512365601789,0.0,close,io
1301.2538601547694,0.0,close,io
1041.5762354987808,0.0,close,io
1073.0328899630135,0.0,close,io
1051.5091961330097,0.0,close,io
1307.4280318026615,0.0,close,io
1030.1386135923244,0.0,close,io
1.5868982070858326e9,1.5868971970858325,close,io
1123.6308071291082,0.0,close,io
1091.895925710101,0.0,close,io
1757.592347706407,0.0,close,io
1087.9896469551854,0.0,close,io
1471.0902525915706,0.0,close,io
1534.2356636037684,0.0,close,io
1037.9062871785256,0.0,close,io
1064.470761823985,0.0,close,io
6.136703668812604e8,0.6136693568812603,close,io
977.6746829270269,0.0,close,io
1096.3677438275909,0.0,close,io
1263.7818354589376,0.0,close,io
1563.3278426196348,0.0,close,io
1278.3549590320808,0.0,close,io
1374.5201170107398,0.0,close,io
1749.2203298228624,0.0,close,io
2130.378104914683,0.0,close,io
1095.7024964720329,0.0,close,io
1043.5023498071214,0.0,close,io
1138.1275744072218,0.0,close,io
957.5208198012731,0.0,close,io
945.8510586107935,0.0,close,io
1089.058395674906,0.0,close,io
1566.9461443277646,0.0,close,io
1084.927582201521,0.0,close,io
1398.7684231049689,0.0,close,io
1470.590226007922,0.0,close,io
2.583516103813347e9,2.5835150938133467,close,io
5.943385537483531e9,5.943384527483531,close,io
1059.0088057809323,0.0,close,io
6.81957873116182e9,6.819577721161821,close,io
1142.5126895716849,0.0,close,io
1388.701466439827,0.0,close,io
1815.5214564171877,0.0,close,io
1.117334783745301e9,1.117333773745301,close,io
1.6916963213997693e9,1.6916953113997693,close,io
4.164198399979435e9,4.164197389979435,close,io
3.50010910551614e9,3.50010809551614,close,io
1052.0187778945942,0.0,close,io
1192.788758060842,0.0,close,io
992.1280407128138,0.0,close,io
2.3433018171566944e9,2.3433008071566945,close,io
2469.111748858403,0.0,close,io
1156.515551249233,0.0,close,io
1468.115351265738,0.0,close,io
1093.8490572205492,0.0,close,io
1177.8661115445748,0.0,close,io
3.1571760835555353e9,3.1571750735555355,close,io
1629.2437251648003,0.0,close,io
896.5831737535262,0.0,close,io
964.5671686473183,0.0,close,io
1845.8722829738695,0.0,close,io
1676.4264415733655,0.0,close,io
1172.996303632218,0.0,close,io
1940.878122666023,0.0,close,io
1.7907225256778307e9,1.7907215156778307,close,io
2.739348017134413e9,2.7393470071344126,close,io
939.804400886233,0.0,close,io
1061.2139472540084,0.0,close,io
1659.6980851109654,0.0,close,io
1458.233247262057,0.0,close,io
4.404485947991924e9,4.404484937991924,close,io
1224.798016562743,0.0,close,io
1556.5627097895947,0.0,close,io
1065.2651907764402,0.0,close,io
6.251044962763083e9,6.251043952763084,close,io
1241.6978787534808,0.0,close,io
1480.6044278213355,0.0,close,io
907.4683362702685,0.0,close,io
1101.4112710698705,0.0,close,io
1.3668101019409542e10,13.668100009409542,close,io
6.326305981965612e9,6.326304971965612,close,io
1045.6999127246124,0.0,close,io
1389.5745808464276,0.0,close,io
1093.4178691490474,0.0,close,io
1304.3816234233793,0.0,close,io
1063.2127582412245,0.0,close,io
1049.0118626605488,0.0,close,io
1293.9829849550724,0.0,close,io
1079.014404688498,0.0,close,io
1723.2808001213093,0.0,close,io
1.8880622765020492e9,1.8880612665020493,close,io
1079.9475709496378,0.0,close,io
4.256285873094564e9,4.256284863094564,close,io
998.6131115105422,0.0,close,io
1036.868671722175,0.0,close,io
6.177071713555841e9,6.177070703555842,close,io
7.914563287807627e8,0.7914553187807627,close,io
1425.28374688464,0.0,close,io
976.994310749928,0.0,close,io
1101.836819509988,0.0,close,io
1008.3583133195931,0.0,close,io
1102.334528799111,0.0,close,io
1204.3600136984828,0.0,close,io
1004.0133224471559,0.0,close,io
